"Date","Action_Type","Language","Content_Category","Day_of_Week","Impressions","CTR","Clicks"
2023-07-24,"Instagram Post","Spanish","Events","Monday",1199,0.00926771800446508,11
2023-07-24,"LinkedIn Post","Italian","Humor","Monday",1252,0.0076556206395016,10
2023-07-25,"Instagram Post","Spanish","Platform Improvements","Tuesday",1691,0.0120618795975674,20
2023-07-25,"LinkedIn Post","Spanish","Partners","Tuesday",1090,0.00793868509020143,9
2023-07-26,"Instagram Post","Spanish","Platform Improvements","Wednesday",1651,0.0124651708011087,21
2023-07-26,"LinkedIn Post","Spanish","Humor","Wednesday",1367,0.00989348843379453,14
2023-07-27,"Instagram Post","Spanish","Humor","Thursday",1264,0.0142338214682341,18
2023-07-27,"LinkedIn Post","Spanish","Events","Thursday",1093,0.00550192904160543,6
2023-07-28,"Instagram Post","English","Platform Improvements","Friday",1355,0.0123203105384016,17
2023-07-28,"LinkedIn Post","Portuguese","Platform Improvements","Friday",1210,0.00809143834918864,10
2023-07-31,"Instagram Post","English","Partners","Monday",1337,0.0109759255914878,15
2023-07-31,"LinkedIn Post","Spanish","Events","Monday",1023,0.007014928243009,7
2023-08-01,"Instagram Post","English","Partners","Tuesday",1375,0.0121524054978154,17
2023-08-01,"LinkedIn Post","English","Events","Tuesday",1192,0.00640737599324358,8
2023-08-02,"Instagram Post","Spanish","Humor","Wednesday",1312,0.0156013773338657,20
2023-08-02,"LinkedIn Post","Spanish","Marketing Automation","Wednesday",1007,0.00857578897121989,9
2023-08-03,"Instagram Post","Spanish","Platform Improvements","Thursday",1926,0.0137175297536065,26
2023-08-03,"LinkedIn Post","Spanish","Marketing Automation","Thursday",1186,0.00788412402325623,9
2023-08-04,"Instagram Post","English","Marketing Automation","Friday",1304,0.0116555177533794,15
2023-08-04,"LinkedIn Post","English","Partners","Friday",1181,0.0064866534003315,8
2023-08-07,"Instagram Post","English","Partners","Monday",1395,0.0135582586331923,19
2023-08-07,"LinkedIn Post","English","Partners","Monday",1081,0.00829327094841828,9
2023-08-08,"Instagram Post","English","Partners","Tuesday",1590,0.0151891221159488,24
2023-08-08,"LinkedIn Post","English","Marketing Automation","Tuesday",1140,0.007432331583664,8
2023-08-09,"Instagram Post","Portuguese","Humor","Wednesday",1447,0.0151603794034495,22
2023-08-09,"LinkedIn Post","Spanish","Humor","Wednesday",1051,0.0118772894839356,12
2023-08-10,"Instagram Post","Spanish","Platform Improvements","Thursday",1400,0.0141396158001326,20
2023-08-10,"LinkedIn Post","Spanish","Platform Improvements","Thursday",1213,0.00893541220845737,11
2023-08-11,"Instagram Post","Italian","Marketing Automation","Friday",1356,0.0111482978995641,15
2023-08-11,"LinkedIn Post","Spanish","Platform Improvements","Friday",1059,0.0080804749757197,9
2023-08-14,"Instagram Post","Spanish","Humor","Monday",1549,0.0114003610662987,18
2023-08-14,"LinkedIn Post","Italian","Platform Improvements","Monday",1206,0.0112040802043382,14
2023-08-15,"Instagram Post","Spanish","Marketing Automation","Tuesday",1500,0.0150656878412334,23
2023-08-15,"LinkedIn Post","French","Marketing Automation","Tuesday",1034,0.00821642294835029,8
2023-08-15,"Newsletter","Spanish (Spain)","Monthly Newsletter","Tuesday",7765,0.079217138221511,615
2023-08-15,"Newsletter","Spanish (LatAm)","Monthly Newsletter","Tuesday",6350,0.0735312260451038,467
2023-08-15,"Newsletter","English","Monthly Newsletter","Tuesday",9552,0.0853474399045125,815
2023-08-16,"Instagram Post","Spanish","Marketing Automation","Wednesday",1544,0.0134216162635356,21
2023-08-16,"LinkedIn Post","Italian","Marketing Automation","Wednesday",983,0.00802929621643295,8
2023-08-17,"Instagram Post","French","Marketing Automation","Thursday",1793,0.0122717619673427,22
2023-08-17,"LinkedIn Post","Spanish","Humor","Thursday",1037,0.0105132280785421,11
2023-08-18,"Instagram Post","English","Marketing Automation","Friday",1499,0.012881630386122,19
2023-08-18,"LinkedIn Post","English","Events","Friday",1209,0.00655151364348138,8
2023-08-21,"Instagram Post","Spanish","Platform Improvements","Monday",1858,0.0121688422576617,23
2023-08-21,"LinkedIn Post","Spanish","Marketing Automation","Monday",1168,0.00765277966080123,9
2023-08-22,"Instagram Post","Spanish","Platform Improvements","Tuesday",1411,0.0117766180625315,17
2023-08-22,"LinkedIn Post","English","Partners","Tuesday",1385,0.00829829018529696,11
2023-08-23,"Instagram Post","Spanish","Platform Improvements","Wednesday",1542,0.0141980036081333,22
2023-08-23,"LinkedIn Post","English","Marketing Automation","Wednesday",1316,0.00832050780589492,11
2023-08-24,"Instagram Post","English","Platform Improvements","Thursday",1581,0.0145342677750184,23
2023-08-24,"LinkedIn Post","Spanish","Partners","Thursday",1354,0.00774951631287541,10
2023-08-25,"Instagram Post","Italian","Marketing Automation","Friday",1736,0.01160436853084,20
2023-08-25,"LinkedIn Post","English","Platform Improvements","Friday",1051,0.00945763162457823,10
2023-08-28,"Instagram Post","Spanish","Partners","Monday",1854,0.0130564797496771,24
2023-08-28,"LinkedIn Post","English","Marketing Automation","Monday",1059,0.007410465289401,8
2023-08-29,"Instagram Post","Spanish","Partners","Tuesday",1503,0.0130331742146735,20
2023-08-29,"LinkedIn Post","English","Platform Improvements","Tuesday",1168,0.00838968896554123,10
2023-08-30,"Instagram Post","French","Marketing Automation","Wednesday",1627,0.0120801633382038,20
2023-08-30,"LinkedIn Post","English","Events","Wednesday",1259,0.00565288378892572,7
2023-08-31,"Instagram Post","English","Platform Improvements","Thursday",1719,0.0129668803722271,22
2023-08-31,"LinkedIn Post","English","Partners","Thursday",1390,0.00630170254849557,9
2023-09-01,"Instagram Post","Spanish","Marketing Automation","Friday",2661,0.0169697435615164,45
2023-09-01,"LinkedIn Post","Spanish","Marketing Automation","Friday",1891,0.0133316185348962,25
2023-09-04,"Instagram Post","Spanish","Humor","Monday",2357,0.0257186201982207,61
2023-09-04,"LinkedIn Post","Spanish","Marketing Automation","Monday",1643,0.0103898320459421,17
2023-09-05,"Instagram Post","Spanish","Platform Improvements","Tuesday",2351,0.0187916775189662,44
2023-09-05,"LinkedIn Post","Spanish","Marketing Automation","Tuesday",1573,0.0122795603722563,19
2023-09-06,"Instagram Post","English","Humor","Wednesday",2649,0.0292844246084355,78
2023-09-06,"LinkedIn Post","English","Platform Improvements","Wednesday",2005,0.0150471862092048,30
2023-09-07,"Instagram Post","Spanish","Humor","Thursday",2308,0.0272883671315118,63
2023-09-07,"LinkedIn Post","English","Events","Thursday",1697,0.00828198165842005,14
2023-09-08,"Instagram Post","Portuguese","Events","Friday",2372,0.0137490527675612,33
2023-09-08,"LinkedIn Post","French","Events","Friday",1805,0.00924431561423929,17
2023-09-11,"Instagram Post","Spanish","Platform Improvements","Monday",2040,0.0218944939218139,45
2023-09-11,"LinkedIn Post","Spanish","Marketing Automation","Monday",1900,0.0109106387205345,21
2023-09-12,"Instagram Post","English","Platform Improvements","Tuesday",2253,0.0192721439126928,43
2023-09-12,"LinkedIn Post","Portuguese","Events","Tuesday",2102,0.00952942911003357,20
2023-09-13,"Instagram Post","English","Events","Wednesday",2341,0.014625451467924,34
2023-09-13,"LinkedIn Post","Spanish","Marketing Automation","Wednesday",1868,0.0112002863343967,21
2023-09-14,"Instagram Post","English","Platform Improvements","Thursday",2711,0.0197379630020355,54
2023-09-14,"LinkedIn Post","Spanish","Events","Thursday",1806,0.00875749843123088,16
2023-09-15,"Instagram Post","Spanish","Marketing Automation","Friday",2464,0.02070584945149,51
2023-09-15,"LinkedIn Post","Spanish","Marketing Automation","Friday",1756,0.0124458989229789,22
2023-09-15,"Newsletter","Spanish (Spain)","Monthly Newsletter","Friday",11391,0.116028255451185,1322
2023-09-15,"Newsletter","Spanish (LatAm)","Monthly Newsletter","Friday",9934,0.119072273883167,1183
2023-09-15,"Newsletter","English","Monthly Newsletter","Friday",14483,0.120391535170882,1744
2023-09-18,"Instagram Post","English","Humor","Monday",1934,0.0244507293503077,47
2023-09-18,"LinkedIn Post","Spanish","Marketing Automation","Monday",1583,0.0139122867438007,22
2023-09-19,"Instagram Post","Spanish","Marketing Automation","Tuesday",2749,0.0164379705736038,45
2023-09-19,"LinkedIn Post","Spanish","Platform Improvements","Tuesday",1800,0.0150074169360799,27
2023-09-20,"Instagram Post","English","Partners","Wednesday",2422,0.0156950483629017,38
2023-09-20,"LinkedIn Post","English","Platform Improvements","Wednesday",1841,0.012954627550541,24
2023-09-21,"Instagram Post","Spanish","Platform Improvements","Thursday",2311,0.0221822248889755,51
2023-09-21,"LinkedIn Post","Portuguese","Platform Improvements","Thursday",1669,0.0135139003235156,23
2023-09-22,"Instagram Post","Portuguese","Platform Improvements","Friday",1892,0.0202481281403165,38
2023-09-22,"LinkedIn Post","French","Platform Improvements","Friday",2218,0.0141631265504392,31
2023-09-25,"Instagram Post","English","Partners","Monday",2467,0.0178622835889165,44
2023-09-25,"LinkedIn Post","Portuguese","Events","Monday",1673,0.0100684904074014,17
2023-09-26,"Instagram Post","Spanish","Humor","Tuesday",2243,0.0256794620250776,58
2023-09-26,"LinkedIn Post","English","Humor","Tuesday",1935,0.01750637564004,34
2023-09-27,"Instagram Post","English","Marketing Automation","Wednesday",2697,0.0173157180410324,47
2023-09-27,"LinkedIn Post","Spanish","Platform Improvements","Wednesday",1857,0.0133623975135626,25
2023-09-28,"Instagram Post","Spanish","Platform Improvements","Thursday",2129,0.0206571491110173,44
2023-09-28,"LinkedIn Post","Spanish","Platform Improvements","Thursday",1425,0.0118841320561238,17
2023-09-29,"Instagram Post","English","Humor","Friday",2043,0.0246720961814403,50
2023-09-29,"LinkedIn Post","English","Marketing Automation","Friday",1427,0.0113686720549525,16
2023-10-02,"Instagram Post","English","Humor","Monday",2753,0.0219941174646452,61
2023-10-02,"LinkedIn Post","Portuguese","Events","Monday",1978,0.0105102582825145,21
2023-10-03,"Instagram Post","English","Humor","Tuesday",3032,0.0243216524104929,74
2023-10-03,"LinkedIn Post","English","Marketing Automation","Tuesday",1863,0.0102278938379591,19
2023-10-04,"Instagram Post","English","Humor","Wednesday",2430,0.0264191606287638,64
2023-10-04,"LinkedIn Post","Italian","Platform Improvements","Wednesday",1764,0.0157618043972417,28
2023-10-05,"Instagram Post","Portuguese","Marketing Automation","Thursday",2338,0.0177875765035188,42
2023-10-05,"LinkedIn Post","Spanish","Platform Improvements","Thursday",1938,0.015389534117063,30
2023-10-06,"Instagram Post","Portuguese","Platform Improvements","Friday",2636,0.0241897116717719,64
2023-10-06,"LinkedIn Post","Spanish","Platform Improvements","Friday",1986,0.0151552164875801,30
2023-10-09,"Instagram Post","Portuguese","Humor","Monday",2285,0.0220213859125377,50
2023-10-09,"LinkedIn Post","Spanish","Humor","Monday",1882,0.0166271773548131,31
2023-10-10,"Instagram Post","Spanish","Humor","Tuesday",2731,0.0241120609868147,66
2023-10-10,"LinkedIn Post","English","Marketing Automation","Tuesday",1919,0.0140486135697223,27
2023-10-11,"Instagram Post","Spanish","Humor","Wednesday",2904,0.024748536707099,72
2023-10-11,"LinkedIn Post","Italian","Events","Wednesday",2073,0.0107829440077778,22
2023-10-12,"Instagram Post","Spanish","Events","Thursday",2470,0.015078333937013,37
2023-10-12,"LinkedIn Post","Spanish","Marketing Automation","Thursday",1915,0.013902050570153,27
2023-10-13,"Instagram Post","Spanish","Marketing Automation","Friday",2523,0.018136418813092,46
2023-10-13,"LinkedIn Post","Spanish","Platform Improvements","Friday",1893,0.0112313912621192,21
2023-10-15,"Newsletter","Spanish (Spain)","Monthly Newsletter","Sunday",11844,0.126653505435749,1500
2023-10-15,"Newsletter","Spanish (LatAm)","Monthly Newsletter","Sunday",10034,0.119481833381221,1199
2023-10-15,"Newsletter","English","Monthly Newsletter","Sunday",13735,0.124861943060874,1715
2023-10-16,"Instagram Post","Spanish","Marketing Automation","Monday",2994,0.018997604374375,57
2023-10-16,"LinkedIn Post","Portuguese","Partners","Monday",1923,0.0135038930295619,26
2023-10-17,"Instagram Post","Spanish","Marketing Automation","Tuesday",2322,0.018976108057351,44
2023-10-17,"LinkedIn Post","Italian","Platform Improvements","Tuesday",1764,0.014153665990784,25
2023-10-18,"Instagram Post","English","Marketing Automation","Wednesday",2634,0.0198890316746716,52
2023-10-18,"LinkedIn Post","Spanish","Platform Improvements","Wednesday",1675,0.0147837586164843,25
2023-10-19,"Instagram Post","English","Humor","Thursday",2544,0.0281377684806723,72
2023-10-19,"LinkedIn Post","English","Humor","Thursday",2045,0.0152982640575464,31
2023-10-20,"Instagram Post","English","Marketing Automation","Friday",2656,0.0177900387487609,47
2023-10-20,"LinkedIn Post","English","Marketing Automation","Friday",2150,0.0131826611413647,28
2023-10-23,"Instagram Post","English","Events","Monday",2039,0.0181843488775836,37
2023-10-23,"LinkedIn Post","French","Platform Improvements","Monday",1949,0.0158857874637268,31
2023-10-24,"Instagram Post","Portuguese","Marketing Automation","Tuesday",2368,0.0184306432194627,44
2023-10-24,"LinkedIn Post","English","Humor","Tuesday",1769,0.0175849914902213,31
2023-10-25,"Instagram Post","English","Humor","Wednesday",2493,0.0245573274538385,61
2023-10-25,"LinkedIn Post","English","Marketing Automation","Wednesday",2071,0.0108983091864683,23
2023-10-26,"Instagram Post","Spanish","Events","Thursday",2436,0.0149531262188373,36
2023-10-26,"LinkedIn Post","Portuguese","Events","Thursday",1800,0.00939343501452318,17
2023-10-27,"Instagram Post","English","Events","Friday",2343,0.0135072167765938,32
2023-10-27,"LinkedIn Post","Spanish","Events","Friday",1746,0.0105034970607653,18
2023-10-30,"Instagram Post","Spanish","Partners","Monday",2184,0.0184930433463703,40
2023-10-30,"LinkedIn Post","Italian","Events","Monday",2085,0.0122453090355918,26
2023-10-31,"Instagram Post","Spanish","Platform Improvements","Tuesday",2169,0.0203071504903528,44
2023-10-31,"LinkedIn Post","Spanish","Humor","Tuesday",2276,0.0167601773630921,38
2023-11-01,"Instagram Post","Portuguese","Events","Wednesday",2976,0.0146442949685187,44
2023-11-01,"LinkedIn Post","Spanish","Partners","Wednesday",2343,0.0157795641247845,37
2023-11-02,"Instagram Post","Spanish","Partners","Thursday",2896,0.0206974294708767,60
2023-11-02,"LinkedIn Post","English","Marketing Automation","Thursday",2342,0.0118575699346391,28
2023-11-03,"Instagram Post","English","Humor","Friday",2939,0.0235528436676784,69
2023-11-03,"LinkedIn Post","English","Platform Improvements","Friday",1828,0.0168832425247436,31
2023-11-06,"Instagram Post","Spanish","Platform Improvements","Monday",2883,0.0249148935613483,72
2023-11-06,"LinkedIn Post","Spanish","Platform Improvements","Monday",2207,0.0127747581206036,28
2023-11-07,"Instagram Post","Spanish","Platform Improvements","Tuesday",2798,0.0255933453196792,72
2023-11-07,"LinkedIn Post","English","Platform Improvements","Tuesday",1971,0.0142012267203643,28
2023-11-08,"Instagram Post","Italian","Humor","Wednesday",3121,0.0291073825119367,91
2023-11-08,"LinkedIn Post","English","Platform Improvements","Wednesday",2169,0.0177431539851004,38
2023-11-09,"Instagram Post","Spanish","Humor","Thursday",2611,0.0240563065242638,63
2023-11-09,"LinkedIn Post","English","Marketing Automation","Thursday",2224,0.0132423181493731,29
2023-11-10,"Instagram Post","Spanish","Events","Friday",3127,0.0175716635346107,55
2023-11-10,"LinkedIn Post","Portuguese","Marketing Automation","Friday",1723,0.0134539672483065,23
2023-11-13,"Instagram Post","Spanish","Platform Improvements","Monday",2930,0.0210990884201457,62
2023-11-13,"LinkedIn Post","Spanish","Marketing Automation","Monday",2141,0.0142161927973816,30
2023-11-14,"Instagram Post","Spanish","Partners","Tuesday",2738,0.0238388571678515,65
2023-11-14,"LinkedIn Post","Spanish","Partners","Tuesday",2047,0.0160596073624456,33
2023-11-15,"Instagram Post","Spanish","Partners","Wednesday",2957,0.0205270197513937,61
2023-11-15,"LinkedIn Post","French","Platform Improvements","Wednesday",2078,0.0172858122653413,36
2023-11-15,"Newsletter","Spanish (Spain)","Monthly Newsletter","Wednesday",13787,0.136626088584285,1884
2023-11-15,"Newsletter","Spanish (LatAm)","Monthly Newsletter","Wednesday",11520,0.127584917816541,1470
2023-11-15,"Newsletter","English","Monthly Newsletter","Wednesday",17025,0.14129010726896,2406
2023-11-16,"Instagram Post","English","Platform Improvements","Thursday",2874,0.0187229394585697,54
2023-11-16,"LinkedIn Post","Spanish","Events","Thursday",1985,0.0103167933865505,20
2023-11-17,"Instagram Post","Spanish","Humor","Friday",3153,0.0253133532978727,80
2023-11-17,"LinkedIn Post","Spanish","Marketing Automation","Friday",2150,0.0122268492406201,26
2023-11-20,"Instagram Post","English","Marketing Automation","Monday",3998,0.0395140454339177,158
2023-11-20,"LinkedIn Post","Spanish","Marketing Automation","Monday",4438,0.0263986238538713,117
2023-11-21,"Instagram Post","Italian","Humor","Tuesday",6290,0.0513954897053863,323
2023-11-21,"LinkedIn Post","Spanish","Platform Improvements","Tuesday",4523,0.0362771539323663,164
2023-11-22,"Instagram Post","Spanish","Partners","Wednesday",6362,0.0439051037576653,279
2023-11-22,"LinkedIn Post","Spanish","Marketing Automation","Wednesday",4808,0.0324628076444559,156
2023-11-23,"Instagram Post","Spanish","Humor","Thursday",6799,0.0671377607366705,456
2023-11-23,"LinkedIn Post","Spanish","Platform Improvements","Thursday",5294,0.0365885681365199,194
2023-11-24,"Instagram Post","English","Events","Friday",7230,0.0451401708906617,326
2023-11-24,"LinkedIn Post","Spanish","Humor","Friday",5123,0.0449958042312567,231
2023-11-27,"Instagram Post","Italian","Marketing Automation","Monday",4712,0.0305577932073172,144
2023-11-27,"LinkedIn Post","Spanish","Marketing Automation","Monday",4246,0.0266570639463238,113
2023-11-28,"Instagram Post","Spanish","Marketing Automation","Tuesday",3107,0.0192309142056942,60
2023-11-28,"LinkedIn Post","Spanish","Platform Improvements","Tuesday",1962,0.015977493511476,31
2023-11-29,"Instagram Post","French","Marketing Automation","Wednesday",3048,0.0224435260961843,68
2023-11-29,"LinkedIn Post","English","Marketing Automation","Wednesday",1920,0.0170690125863679,33
2023-11-30,"Instagram Post","English","Humor","Thursday",2839,0.0295199988460969,84
2023-11-30,"LinkedIn Post","Italian","Marketing Automation","Thursday",2312,0.0136712523433811,32
2023-12-01,"Instagram Post","English","Events","Friday",1762,0.00992284589512418,17
2023-12-01,"LinkedIn Post","Spanish","Platform Improvements","Friday",1516,0.0126757192694302,19
2023-12-04,"Instagram Post","Spanish","Marketing Automation","Monday",1660,0.0150391561249715,25
2023-12-04,"LinkedIn Post","Italian","Marketing Automation","Monday",1332,0.00767762877344317,10
2023-12-05,"Instagram Post","Spanish","Partners","Tuesday",2025,0.013903765036614,28
2023-12-05,"LinkedIn Post","Spanish","Platform Improvements","Tuesday",1327,0.0111744042383248,15
2023-12-06,"Instagram Post","Spanish","Marketing Automation","Wednesday",1757,0.0137993941133713,24
2023-12-06,"LinkedIn Post","English","Marketing Automation","Wednesday",1284,0.00881060247651737,11
2023-12-07,"Instagram Post","Spanish","Partners","Thursday",1858,0.0165285970824496,31
2023-12-07,"LinkedIn Post","English","Partners","Thursday",1338,0.0101582672713197,14
2023-12-08,"Instagram Post","French","Marketing Automation","Friday",1898,0.0136337473817413,26
2023-12-08,"LinkedIn Post","English","Events","Friday",1422,0.00800151359608035,11
2023-12-11,"Instagram Post","Spanish","Platform Improvements","Monday",1851,0.0160506282339008,30
2023-12-11,"LinkedIn Post","Spanish","Humor","Monday",1518,0.012169794973635,18
2023-12-12,"Instagram Post","Spanish","Platform Improvements","Tuesday",2076,0.0159714989139253,33
2023-12-12,"LinkedIn Post","French","Partners","Tuesday",1358,0.010151596076387,14
2023-12-13,"Instagram Post","English","Marketing Automation","Wednesday",1802,0.0136363974378054,25
2023-12-13,"LinkedIn Post","English","Partners","Wednesday",1225,0.0104733678257004,13
2023-12-14,"Instagram Post","Italian","Marketing Automation","Thursday",1586,0.0142489952781405,23
2023-12-14,"LinkedIn Post","English","Events","Thursday",1223,0.00767311857335595,9
2023-12-15,"Instagram Post","English","Platform Improvements","Friday",2004,0.0157829649943669,32
2023-12-15,"LinkedIn Post","Spanish","Platform Improvements","Friday",1296,0.00927493387748439,12
2023-12-15,"Newsletter","Spanish (Spain)","Monthly Newsletter","Friday",9531,0.0922292717973539,879
2023-12-15,"Newsletter","Spanish (LatAm)","Monthly Newsletter","Friday",7204,0.091459848853124,659
2023-12-15,"Newsletter","English","Monthly Newsletter","Friday",11662,0.0879626320316649,1026
2023-12-18,"Instagram Post","English","Marketing Automation","Monday",1711,0.0115116090044606,20
2023-12-18,"LinkedIn Post","Spanish","Partners","Monday",1394,0.00977428349601276,14
2023-12-19,"Instagram Post","Spanish","Marketing Automation","Tuesday",1731,0.012555939955243,22
2023-12-19,"LinkedIn Post","Italian","Marketing Automation","Tuesday",1173,0.00952335523894178,11
2023-12-20,"Instagram Post","English","Marketing Automation","Wednesday",1126,0.00760300034204851,9
2023-12-20,"LinkedIn Post","English","Marketing Automation","Wednesday",966,0.00583995718724713,6
2023-12-21,"Instagram Post","English","Events","Thursday",924,0.00522784761718224,5
2023-12-21,"LinkedIn Post","English","Platform Improvements","Thursday",699,0.00531528508075634,4
2023-12-22,"Instagram Post","English","Events","Friday",874,0.00339589255443677,3
2023-12-22,"LinkedIn Post","Spanish","Marketing Automation","Friday",532,0.00389056547207151,2
2023-12-25,"Instagram Post","English","Platform Improvements","Monday",172,0.00130593599199495,0
2023-12-25,"LinkedIn Post","Spanish","Marketing Automation","Monday",171,0.00100365413000561,0
2023-12-26,"Instagram Post","French","Platform Improvements","Tuesday",399,0.00351200752929981,1
2023-12-26,"LinkedIn Post","Italian","Humor","Tuesday",287,0.00223662230591894,1
2023-12-27,"Instagram Post","English","Humor","Wednesday",460,0.00534164454092685,2
2023-12-27,"LinkedIn Post","Italian","Humor","Wednesday",454,0.00359706670386813,2
2023-12-28,"Instagram Post","English","Humor","Thursday",972,0.00765285594158106,7
2023-12-28,"LinkedIn Post","Portuguese","Humor","Thursday",530,0.00473380572568554,3
2023-12-29,"Instagram Post","Spanish","Platform Improvements","Friday",1067,0.00763769551750304,8
2023-12-29,"LinkedIn Post","Italian","Humor","Friday",542,0.00563963178840029,3
2024-01-01,"Instagram Post","English","Events","Monday",1076,0.00571451597894846,6
2024-01-01,"LinkedIn Post","English","Platform Improvements","Monday",826,0.00618951657032673,5
2024-01-02,"Instagram Post","English","Marketing Automation","Tuesday",1212,0.00764602403336574,9
2024-01-02,"LinkedIn Post","English","Humor","Tuesday",1013,0.00865010699947411,9
2024-01-03,"Instagram Post","Italian","Platform Improvements","Wednesday",1279,0.00949664027751993,12
2024-01-03,"LinkedIn Post","English","Marketing Automation","Wednesday",1114,0.00658408239223586,7
2024-01-04,"Instagram Post","English","Platform Improvements","Thursday",1522,0.0152568217983086,23
2024-01-04,"LinkedIn Post","Spanish","Humor","Thursday",1067,0.00851902910528613,9
2024-01-05,"Instagram Post","English","Events","Friday",1750,0.0113959856884459,20
2024-01-05,"LinkedIn Post","English","Humor","Friday",1442,0.0113448801143842,16
2024-01-08,"Instagram Post","Spanish","Humor","Monday",1619,0.0176485730985077,29
2024-01-08,"LinkedIn Post","English","Marketing Automation","Monday",1606,0.0106940263518074,17
2024-01-09,"Instagram Post","Spanish","Humor","Tuesday",2251,0.017938148169051,40
2024-01-09,"LinkedIn Post","Italian","Platform Improvements","Tuesday",1450,0.0104094474157294,15
2024-01-10,"Instagram Post","Italian","Platform Improvements","Wednesday",2208,0.0182036924793655,40
2024-01-10,"LinkedIn Post","English","Humor","Wednesday",1387,0.0143485576686952,20
2024-01-11,"Instagram Post","Spanish","Platform Improvements","Thursday",2102,0.0161704746232694,34
2024-01-11,"LinkedIn Post","Portuguese","Platform Improvements","Thursday",1338,0.0118560312731599,16
2024-01-12,"Instagram Post","English","Events","Friday",1463,0.0100817479207957,15
2024-01-12,"LinkedIn Post","Spanish","Humor","Friday",1584,0.0104067181072817,16
2024-01-15,"Instagram Post","English","Marketing Automation","Monday",2285,0.0139338713022124,32
2024-01-15,"LinkedIn Post","Spanish","Platform Improvements","Monday",1380,0.0108337449668247,15
2024-01-15,"Newsletter","Spanish (Spain)","Monthly Newsletter","Monday",9753,0.0971591167420598,948
2024-01-15,"Newsletter","Spanish (LatAm)","Monthly Newsletter","Monday",7694,0.0948248933860687,730
2024-01-15,"Newsletter","English","Monthly Newsletter","Monday",9877,0.106178766889879,1049
2024-01-16,"Instagram Post","French","Platform Improvements","Tuesday",1729,0.0164724675212818,28
2024-01-16,"LinkedIn Post","Portuguese","Humor","Tuesday",1602,0.0142381652882988,23
2024-01-17,"Instagram Post","English","Humor","Wednesday",2444,0.0167960856758562,41
2024-01-17,"LinkedIn Post","Spanish","Humor","Wednesday",1478,0.0121189778604755,18
2024-01-18,"Instagram Post","English","Humor","Thursday",1751,0.0220214685619065,39
2024-01-18,"LinkedIn Post","Spanish","Marketing Automation","Thursday",1495,0.00992010489556866,15
2024-01-19,"Instagram Post","English","Marketing Automation","Friday",1723,0.0149474108179255,26
2024-01-19,"LinkedIn Post","English","Platform Improvements","Friday",1251,0.00997312096635076,12
2024-01-22,"Instagram Post","English","Humor","Monday",1966,0.0219932551837658,43
2024-01-22,"LinkedIn Post","English","Marketing Automation","Monday",1522,0.0105989269831196,16
2024-01-23,"Instagram Post","English","Marketing Automation","Tuesday",1935,0.0157907886952742,31
2024-01-23,"LinkedIn Post","English","Humor","Tuesday",1427,0.0130330674484951,19
2024-01-24,"Instagram Post","Spanish","Humor","Wednesday",1838,0.0187068113576227,34
2024-01-24,"LinkedIn Post","French","Events","Wednesday",1587,0.00707068388475098,11
2024-01-25,"Instagram Post","English","Partners","Thursday",1876,0.0173611140475866,33
2024-01-25,"LinkedIn Post","Spanish","Marketing Automation","Thursday",1357,0.010588444752227,14
2024-01-26,"Instagram Post","Spanish","Humor","Friday",1728,0.0198525704302614,34
2024-01-26,"LinkedIn Post","Portuguese","Marketing Automation","Friday",1523,0.00991882831217935,15
2024-01-29,"Instagram Post","English","Platform Improvements","Monday",2058,0.0149994143804688,31
2024-01-29,"LinkedIn Post","English","Platform Improvements","Monday",1454,0.0111597470708431,16
2024-01-30,"Instagram Post","French","Partners","Tuesday",1711,0.0156022975319892,27
2024-01-30,"LinkedIn Post","Spanish","Platform Improvements","Tuesday",1614,0.0111887140574432,18
2024-01-31,"Instagram Post","English","Events","Wednesday",1936,0.0139576367221851,27
2024-01-31,"LinkedIn Post","Spanish","Partners","Wednesday",1163,0.0116848226332337,14
2024-02-01,"Instagram Post","Spanish","Partners","Thursday",2050,0.016169894875858,33
2024-02-01,"LinkedIn Post","Spanish","Platform Improvements","Thursday",1582,0.0112317588731223,18
2024-02-02,"Instagram Post","Spanish","Events","Friday",1866,0.0125915055409555,23
2024-02-02,"LinkedIn Post","Italian","Humor","Friday",1622,0.0147555862392301,24
2024-02-05,"Instagram Post","English","Marketing Automation","Monday",2070,0.0163928269851473,34
2024-02-05,"LinkedIn Post","English","Partners","Monday",1786,0.00968945686330931,17
2024-02-06,"Instagram Post","Spanish","Marketing Automation","Tuesday",2090,0.015630786680833,33
2024-02-06,"LinkedIn Post","Spanish","Events","Tuesday",1614,0.0073869206916907,12
2024-02-07,"Instagram Post","English","Humor","Wednesday",1925,0.0199646699419685,38
2024-02-07,"LinkedIn Post","Portuguese","Humor","Wednesday",1790,0.0138141913722106,25
2024-02-08,"Instagram Post","Spanish","Marketing Automation","Thursday",2010,0.0155233078631372,31
2024-02-08,"LinkedIn Post","English","Partners","Thursday",1590,0.0102351828744391,16
2024-02-09,"Instagram Post","Spanish","Events","Friday",1989,0.0115438567214817,23
2024-02-09,"LinkedIn Post","Spanish","Platform Improvements","Friday",1489,0.0131433652597108,20
2024-02-12,"Instagram Post","Spanish","Platform Improvements","Monday",2151,0.0155743301556031,33
2024-02-12,"LinkedIn Post","Portuguese","Platform Improvements","Monday",1571,0.0108387496177689,17
